time,mean,max,min,hor,ver,horabs,verabs
20220406_153435,0.325088591,0.542885423,0.003685894,0.03464716,0.31932813,0.048711043,0.31934488
20220406_153436,0.319616605,0.535851896,0.021458568,0.001308618,0.31590813,0.036186438,0.31591
20220406_153436,0.304503288,0.544413328,0.05465978,0.018648863,0.30027476,0.037317745,0.3002749
20220406_153436,0.314833614,0.554792345,0.04122255,0.0357374,0.30930877,0.04556855,0.30933633
20220406_153437,0.313748229,0.519678295,0.00613417,0.036739152,0.30758655,0.048291713,0.30782062
20220406_153437,0.280886666,0.494421542,0.001963972,0.016359413,0.2764116,0.03719528,0.27642474
20220406_153437,0.283815707,0.582014859,0.007449779,0.015045425,0.27902162,0.039484892,0.27902254
20220406_153438,0.317170908,0.541916728,0.008480882,0.033355024,0.31203264,0.044894487,0.3120613
20220406_153438,0.292978504,0.521178901,0.003699594,0.002230951,0.28933018,0.034934632,0.2893784
20220406_153438,0.256855213,0.527027011,0.001289622,-0.012616302,0.2524046,0.036114205,0.25243795
20220406_153439,0.260826167,0.487499297,0.008385392,-0.005498413,0.25630265,0.034376487,0.25634256
20220406_153439,0.270820309,0.51052779,0.006646143,-0.03514609,0.26410127,0.047265604,0.26410195
20220406_153439,0.278617337,0.51736933,0.038646482,-0.033138704,0.2725077,0.045484148,0.27250785
20220406_153440,0.279661329,0.483185887,0.003619951,-0.010409866,0.27491784,0.03668324,0.27502742
20220406_153440,0.312536232,0.544180691,0.006143629,0.004472791,0.3088649,0.035830647,0.3088928
20220406_153440,0.289036597,0.532463849,0.028962256,-0.000109013,0.28490877,0.03558181,0.28494027
20220406_153441,0.297417373,0.526189685,0.011018641,-0.007470723,0.293592,0.035399307,0.2936106
20220406_153441,0.322864137,0.538338065,0.007597156,0.00905164,0.31889844,0.037495036,0.31890875
20220406_153441,0.343657713,0.570970714,0.008328099,0.011647321,0.33943146,0.039777555,0.33947173
20220406_153442,0.335152056,0.556010485,0.003184535,0.011716392,0.33125386,0.036507268,0.33155093
20220406_153442,0.285619907,0.537733316,0.022350358,-0.025725989,0.2807449,0.040907823,0.2807667
20220406_153442,0.326197202,0.55031544,0.035604913,-0.006816963,0.32255358,0.036816902,0.322585
20220406_153443,0.32573561,0.597908378,0.02897051,-0.021254314,0.32164407,0.03974997,0.32165614
20220406_153443,0.311598816,0.578876376,0.012679379,-0.035051893,0.30603373,0.046499208,0.3060457
20220406_153443,0.308426075,0.660961449,0.002031781,-0.022483334,0.30396485,0.041711275,0.30399257
20220406_153444,0.322665172,0.545665503,0.015861729,-0.00595006,0.31892902,0.036990184,0.31892902
20220406_153444,0.331039502,0.773278713,0.045766242,0.002388371,0.3275185,0.03681381,0.3275185
20220406_153444,0.321342833,0.612842083,0.003784025,-0.00701247,0.3174816,0.036680505,0.31773892
20220406_153445,0.334646354,0.566685617,0.010558405,-0.013723547,0.33088434,0.038655587,0.33088434
20220406_153445,0.358389346,0.579204917,0.002335321,0.01286308,0.35471672,0.03762805,0.35479945
20220406_153445,0.342563041,0.548448741,0.019024611,-0.002457431,0.33871117,0.039080773,0.33876854
20220406_153446,0.334618553,0.564137697,0.000806847,0.013894482,0.3308411,0.038027253,0.3308436
20220406_153446,0.333938003,0.547644854,0.010466722,-0.00105137,0.329874,0.038136646,0.3299197
20220406_153446,0.339984459,0.55082494,0.002208299,0.009567465,0.33624327,0.03869348,0.336302
20220406_153447,0.31437462,0.520416498,0.036916945,-0.021880597,0.3096524,0.041352335,0.30970964
20220406_153447,0.318970649,0.56022054,0.003019662,-0.026475767,0.3142519,0.042736616,0.31425288
20220406_153447,0.32290515,0.581075072,0.047957215,-0.007236307,0.31865916,0.039697684,0.31865916
20220406_153448,0.325092569,0.547513425,0.00595886,-0.021798696,0.3209134,0.040446695,0.32097116
20220406_153448,0.336838227,0.616147757,0.032540776,-0.016903538,0.33337486,0.03612847,0.33340433
20220406_153448,0.337533896,0.57910955,0.001199272,-0.012102359,0.3343358,0.035609674,0.33436814
20220406_153449,0.3398717,0.81479162,0.010538596,0.001432539,0.33678532,0.03568857,0.33679
20220406_153449,0.356598694,0.581223905,0.006514935,-0.005345401,0.35334694,0.036238886,0.35340667
20220406_153449,0.345811118,0.597610831,0.006048826,-0.01024087,0.34219694,0.0358697,0.3424317
20220406_153450,0.350517074,0.564396083,0.01338554,-0.007089954,0.34773096,0.03356651,0.34773096
20220406_153450,0.373094475,0.594293118,0.002572298,0.017868893,0.3695119,0.039167203,0.3695413
20220406_153450,0.344439609,0.591046333,0.003250676,-0.008779202,0.34110186,0.03721503,0.34113014
20220406_153451,0.342317835,0.56469661,0.061466787,-0.000650398,0.33870357,0.036529444,0.338732
20220406_153451,0.365564959,0.588074505,0.045694109,-0.00527264,0.36195144,0.039074633,0.36195144
20220406_153451,0.351292049,0.557089865,0.017697018,0.002158701,0.347749,0.037848618,0.34774947
20220406_153452,0.34264995,0.589984655,0.017170666,-0.02524704,0.33861837,0.040562827,0.33863008
20220406_153452,0.349488309,0.628248692,0.026940268,-0.00815911,0.34631968,0.03562328,0.34631968
20220406_153452,0.35499745,0.579808652,0.005005736,0.004689099,0.35188174,0.035538744,0.35189486
20220406_153453,0.340512521,0.532512605,0.023638763,-0.024478551,0.33625633,0.04217183,0.33625633
20220406_153453,0.350938241,0.550628662,0.009091786,-0.001579547,0.34758058,0.036581334,0.34758916
