time,magmean,magmax,magmin,hor,ver,hor1,ver1
20220215_155005,0.337967279,0.829379976,0.000741549,-0.27151436,0.16076139,0.27305105,0.1725217
20220215_155005,0.337484812,0.804261506,0.000630831,-0.26465595,0.16280194,0.26723692,0.17674121
20220215_155006,0.342390841,0.910916984,0.000446509,-0.27753672,0.1557655,0.27996907,0.16649003
20220215_155006,0.348890202,0.894406617,0.001263424,-0.2777989,0.16308738,0.28074878,0.17637515
20220215_155006,0.340051292,0.97232163,0.001432207,-0.26891616,0.16837385,0.26998034,0.17932054
20220215_155007,0.342717118,0.812672794,0.001307708,-0.285173,0.14301239,0.28596154,0.15969343
20220215_155007,0.332364388,0.927705169,0.003388827,-0.25328666,0.17408499,0.2573854,0.18051869
20220215_155008,0.332195478,0.887690306,0.001346763,-0.26073182,0.15881503,0.26275262,0.1714695
20220215_155008,0.332127762,0.812974691,0.00106407,-0.26715466,0.14690356,0.2702404,0.16183566
20220215_155009,0.316060953,0.843856573,0.001094929,-0.25782552,0.13154437,0.26000565,0.14754939
20220215_155009,0.333890614,0.86690402,0.001116357,-0.27558538,0.1434482,0.27766603,0.15594217
20220215_155009,0.36387297,0.907205403,0.001202012,-0.30872625,0.15062883,0.30975154,0.16163163
20220215_155010,0.355731228,0.803421915,0.000762835,-0.2914321,0.16371132,0.29246935,0.17618492
20220215_155010,0.36019057,0.929900467,0.001044364,-0.3004882,0.1553467,0.3012298,0.16808948
20220215_155011,0.362222154,1.048654556,0.001069597,-0.29065618,0.17952105,0.29231048,0.18802151
20220215_155011,0.359644378,0.800008714,0.000401176,-0.2825877,0.18132754,0.28414857,0.193785
20220215_155012,0.358082364,0.926441729,0.001042425,-0.27643108,0.19107339,0.27750468,0.19967689
20220215_155012,0.370813605,0.857573271,0.000699245,-0.28568488,0.20440918,0.2867071,0.21047787
20220215_155012,0.360077776,0.757579684,0.002136815,-0.26937017,0.20717132,0.2715179,0.21143726
20220215_155013,0.375120283,0.839396179,0.000324596,-0.28544146,0.20950386,0.28832287,0.21429887
20220215_155013,0.371694691,1.002331495,0.000185773,-0.28271708,0.20312274,0.28417704,0.21218288
20220215_155014,0.356754246,0.973758698,0.001548419,-0.26757044,0.1986074,0.27093405,0.20378897
20220215_155014,0.357488233,0.966516435,0.001326498,-0.27373567,0.19062765,0.27579758,0.19891071
20220215_155015,0.360898479,0.836505592,0.001058489,-0.278769,0.1896922,0.28143877,0.19724278
20220215_155015,0.34983443,0.886946738,0.00073407,-0.27935317,0.1716282,0.2813673,0.18103215
20220215_155015,0.362225193,0.761004388,0.001725245,-0.30416358,0.15317424,0.3052151,0.1655487
20220215_155016,0.374565018,0.977325797,0.001353587,-0.30979997,0.17272496,0.3110364,0.18030219
20220215_155016,0.356905209,0.908155262,0.001883502,-0.29311448,0.16496512,0.2943686,0.17322464
20220215_155017,0.37339382,0.797773898,0.001181028,-0.31147623,0.16309032,0.31448007,0.17311426
20220215_155017,0.358016859,0.831563234,0.014366201,-0.3078126,0.13625091,0.30812353,0.15230091
20220215_155018,0.352798179,0.868366599,0.000762761,-0.30054858,0.13570838,0.30185574,0.14917356
20220215_155018,0.384020421,0.897481501,0.000741119,-0.3400906,0.12651984,0.34131947,0.14541294
20220215_155018,0.380861535,0.919532716,0.000247917,-0.32826358,0.14431123,0.33022842,0.15802562
20220215_155019,0.376284107,0.811526716,0.002367449,-0.33137298,0.12140988,0.3331876,0.14244418
