time,magmean,max,min,hor,ver,horabs,verabs
20220125_140448,3.897982266,11.73502731,0.004002811,2.1249819,-2.4906695,2.317308,2.8271837
20220125_140449,3.72294075,11.71961021,0.007861448,2.0212667,-2.322419,2.2290285,2.6894798
20220125_140449,3.621817557,11.72884178,0.005113402,1.9511544,-2.1762366,2.1619701,2.6138628
20220125_140450,3.484032773,10.91566467,0.012289856,1.9243791,-2.0024984,2.1256585,2.4583952
20220125_140450,3.390121442,11.60709095,0.012919399,1.857175,-1.8946327,2.0884466,2.3721528
20220125_140451,3.297145016,11.89355564,0.009433295,1.8406245,-1.7611264,2.0576704,2.2691824
20220125_140451,3.183841018,12.42186737,0.008257061,1.7547642,-1.6085382,2.0015738,2.168909
20220125_140452,3.154844799,12.38162327,0.00862542,1.7564486,-1.5499859,2.01313,2.1200175
20220125_140452,3.040094981,11.22426319,0.016011339,1.7116387,-1.4075445,1.9660484,2.0091307
20220125_140453,2.965345307,11.99527931,0.004407085,1.6488442,-1.367025,1.9276963,1.953552
20220125_140453,2.921394609,11.51824951,0.006053339,1.6483989,-1.3194697,1.9302568,1.8900583
20220125_140454,2.892004783,11.31484985,0.002382637,1.6119598,-1.3100061,1.9161488,1.8695259
20220125_140454,2.850812023,11.56587315,0.007207218,1.613459,-1.2358661,1.9238727,1.815891
20220125_140455,2.757965777,11.74941254,0.011625991,1.5646662,-1.1616156,1.8998483,1.7236211
20220125_140455,2.697391135,11.86380768,0.005181015,1.5854954,-1.0918777,1.8883734,1.6410809
20220125_140456,2.650890967,12.13044834,0.005265067,1.5737488,-1.0425032,1.8837774,1.5851762
20220125_140456,2.629110907,12.74851131,0.006105802,1.5337751,-0.99597675,1.8873569,1.5578078
20220125_140457,2.601324521,12.93320274,0.004087972,1.5495096,-0.97302043,1.8797897,1.5247266
20220125_140457,2.562517875,12.35398102,0.002449059,1.5245469,-0.8992106,1.8662354,1.4724419
20220125_140458,2.538276766,12.78071499,0.00529424,1.5150964,-0.85355705,1.8688928,1.4295263
20220125_140458,2.496286165,12.36663628,0.004852518,1.4906518,-0.8160107,1.845557,1.397925
20220125_140459,2.511075536,12.72631073,0.001257781,1.4984134,-0.7704299,1.8786992,1.3748816
20220125_140459,2.489019409,12.58092594,0.005334842,1.4979975,-0.7679549,1.8449827,1.3782221
20220125_140500,2.49634338,12.1858511,0.002510313,1.4828972,-0.7794164,1.8602965,1.3726239
