time,,,,hor,,horabs,,,,,hor-,horabs-
20220125_153153,12.97753801,13.77156448,0.245879829,-0.1103257,12.976656,0.12456914,12.976656,,,,-0.1167497,0.058578761
20220125_153154,12.95547745,13.78790855,0.231409281,-0.089465275,12.954778,0.10412584,12.954778,,,,-0.095889275,0.038135461
20220125_153154,13.00183242,13.86059284,0.167730123,-0.08677515,13.001079,0.106337726,13.001079,,,,-0.09319915,0.040347347
20220125_153155,13.0041873,13.79662418,0.197189897,-0.09032873,13.003485,0.10528152,13.003485,,,,-0.09675273,0.039291141
20220125_153155,12.99976276,13.8572197,0.248755723,-0.093256325,12.998958,0.115455024,12.998958,,,,-0.099680325,0.049464645
20220125_153156,13.00250671,14.07601643,0.217758864,-0.08880673,13.001766,0.10820007,13.001766,,,,-0.09523073,0.042209691
20220125_153157,12.98315287,13.82803917,0.214083418,-0.09708091,12.982318,0.11498782,12.982318,,,,-0.10350491,0.048997441
20220125_153157,12.9713597,13.78402996,0.23272872,-0.10086038,12.970528,0.117097005,12.970528,,,,-0.10728438,0.051106626
20220125_153158,12.97810322,13.79625511,0.299435139,-0.11554529,12.977144,0.12682985,12.977144,,,,-0.12196929,0.060839471
20220125_153158,12.99112634,13.80210495,0.162765831,-0.10772355,12.990238,0.120674506,12.990238,,,,-0.11414755,0.054684127
20220125_153159,12.98713924,13.75650501,0.175339445,-0.095867984,12.986375,0.11244325,12.986375,,,,-0.102291984,0.046452871
20220125_153200,13.01483611,13.89800262,0.177061856,-0.09535383,13.014029,0.11260038,13.014029,,,,-0.10177783,0.046610001
20220125_153200,13.02617436,13.8825531,0.190973222,-0.1063092,13.025297,0.121096045,13.025297,,,,-0.1127332,0.055105666
20220125_153201,13.12017765,13.87136459,0.219071016,-0.06715195,13.119506,0.09812091,13.119506,,,,-0.07357595,0.032130531
20220125_153202,13.20920734,14.0517292,0.182788178,-0.07399192,13.20852,0.100577705,13.20852,,,,-0.08041592,0.034587326
20220125_153202,13.29846958,14.37804699,0.159901977,-0.06577688,13.297814,0.09468139,13.297814,,,,-0.07220088,0.028691011
20220125_153203,13.53400666,14.46519852,0.152043208,-0.060272437,13.533428,0.088676184,13.533428,,,,-0.066696437,0.022685805
20220125_153203,13.68039832,14.64081383,0.22732611,-0.08479722,13.679655,0.106803775,13.679655,,,,-0.09122122,0.040813396
20220125_153204,13.89113668,15.0314064,0.166036233,-0.060684424,13.890471,0.09487183,13.890471,,,,-0.067108424,0.028881451
20220125_153205,14.04101783,15.52191162,0.186265841,-0.078488365,14.0401535,0.1068612,14.0401535,,,,-0.084912365,0.040870821
20220125_153205,14.15190852,15.64620018,0.133025512,-0.06276035,14.150878,0.10138157,14.150878,,,,-0.06918435,0.035391191
20220125_153206,14.20376026,15.73879528,0.183424205,-0.08758529,14.20218,0.11987021,14.20218,,,,-0.09400929,0.053879831
20220125_153207,14.18554075,15.97074127,0.1794945,-0.10758439,14.183535,0.13897985,14.183535,,,,-0.11400839,0.072989471
20220125_153207,14.12987874,16.45331001,0.180386379,-0.12343101,14.127045,0.15608509,14.127045,,,,-0.12985501,0.090094711
20220125_153208,14.09650492,16.73023224,0.167036071,-0.13636549,14.092272,0.17399059,14.092272,,,,-0.14278949,0.108000211
20220125_153208,13.68073211,16.90702629,0.14240025,-0.11481885,13.675393,0.19181712,13.675393,,,,-0.12124285,0.125826741
20220125_153209,13.22275702,17.13486862,0.152196437,-0.1588987,13.214187,0.25564623,13.214187,,,,-0.1653227,0.189655851
20220125_153210,12.45671238,17.82825851,0.112703703,-0.15244505,12.445553,0.30113146,12.445553,,,,-0.15886905,0.235141081
20220125_153210,11.87541522,17.87162781,0.108010791,-0.15599783,11.860792,0.35191756,11.860792,,,,-0.16242183,0.285927181
20220125_153211,11.11229954,17.41265869,0.122333072,-0.18578999,11.095373,0.3958725,11.095373,,,,-0.19221399,0.329882121
20220125_153212,10.6831747,17.86954308,0.131215557,-0.18747024,10.664181,0.42726898,10.664181,,,,-0.19389424,0.361278601
20220125_153212,10.29526013,17.72406578,0.092480376,-0.18703483,10.274494,0.44661257,10.274494,,,,-0.19345883,0.380622191
20220125_153213,10.12817784,18.11447716,0.096571684,-0.18930873,10.105295,0.46566206,10.105295,,,,-0.19573273,0.399671681
20220125_153214,9.93527172,18.24633598,0.208945677,-0.18907891,9.910317,0.4731124,9.910317,,,,-0.19550291,0.407122021
20220125_153214,9.677972504,17.3115654,0.111110188,-0.19490302,9.648366,0.4941896,9.648366,,,,-0.20132702,0.428199221
20220125_153215,9.461213119,15.454566,0.080320269,-0.19307555,9.428092,0.52356285,9.428092,,,,-0.19949955,0.457572471
